Date,equipo,materia,pred_mean,lower_80,upper_80,lower_95,upper_95
2023-09-01,Price_Equipo1,Price_Y,458.73483732992673,448.27733314884625,468.7495657898842,441.9427949879308,474.1302704015017
2023-10-01,Price_Equipo1,Price_Y,447.7335136171082,435.9355094132759,458.7881694359743,430.5294733885662,465.0740788974285
2023-11-01,Price_Equipo1,Price_Y,439.71061678342966,429.5940051235473,450.92671863624724,423.687740226624,456.3314146529513
2023-12-01,Price_Equipo1,Price_Y,450.22733230551535,438.6398043390248,461.5950233763327,432.2685904002786,466.83444233014166
2024-01-01,Price_Equipo1,Price_Y,459.42249764819655,447.634396441445,470.6620838329138,441.8461190492664,475.06686620059867
2024-02-01,Price_Equipo1,Price_Y,467.61731650763204,456.32585461075297,478.5477131061069,450.8158891667229,484.4499486071277
2024-03-01,Price_Equipo1,Price_Y,479.7519726031459,469.1535691366433,490.8826797935655,463.535752057607,495.8642543357341
2024-04-01,Price_Equipo1,Price_Y,486.08209880541995,475.1391002656446,497.2294032634138,468.6666700754755,502.9451352362561
2024-05-01,Price_Equipo1,Price_Y,478.7005523940142,466.99758307235004,489.83730744040423,462.2458383954031,495.458639621316
2024-06-01,Price_Equipo1,Price_Y,462.20981046585223,451.51989604270864,472.7176849294418,445.70809453779873,479.9069521246283
2024-07-01,Price_Equipo1,Price_Y,457.1695368781411,446.3288979106972,468.61634125446585,440.98312167188925,474.7128214321793
2024-08-01,Price_Equipo1,Price_Y,461.7936137952554,450.316070688821,472.4900641182131,444.27237272643146,478.9087880646941
2023-09-01,Price_Equipo2,Price_Z,934.0582744938047,906.9859138311612,959.2878271306826,895.1987975949303,973.257662683891
2023-10-01,Price_Equipo2,Price_Z,941.2014431755035,908.2202068329377,970.4889788278605,890.4343531493322,987.8262831244101
2023-11-01,Price_Equipo2,Price_Z,936.3986765830707,902.2926898690747,968.5954062921078,882.2555461430475,984.7222485926613
2023-12-01,Price_Equipo2,Price_Z,941.5064642323448,907.5510588609275,976.5304736869816,890.3172864626981,995.6721185914779
2024-01-01,Price_Equipo2,Price_Z,956.5142608310272,923.9219988468743,990.7132324388846,907.5601103514041,1013.312096845671
2024-02-01,Price_Equipo2,Price_Z,964.2563256710916,932.6473229896233,998.5047272864883,912.5231724367189,1015.2867156177288
2024-03-01,Price_Equipo2,Price_Z,969.5647814790126,936.3211023779453,1003.0936939490448,918.1171259858672,1023.1854754420242
2024-04-01,Price_Equipo2,Price_Z,974.130822903692,936.4389933670047,1007.9573041847915,917.6152124094625,1026.7907326030127
2024-05-01,Price_Equipo2,Price_Z,952.8000547360509,918.598356838421,987.6601468952742,898.7262545088588,1006.9403547496477
2024-06-01,Price_Equipo2,Price_Z,935.7839532240787,899.8618159153883,970.5152638821841,883.7847308042155,986.165666765939
2024-07-01,Price_Equipo2,Price_Z,930.9093700908089,895.665250477542,967.071234422876,877.1894159002381,983.998685603277
2024-08-01,Price_Equipo2,Price_Z,936.4240792581857,901.6228154387072,973.9666441258723,884.5932776270132,991.3512120670814
